Borough,Borough/Citywide Office (B/CO),District,DBN,school_name_x,School Category,Program,Language,General/Special Education,school_name_y,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
Queens,Queens North,30,30Q204,I.S. 204 Oliver W. Holmes,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,I.S. 204 Oliver W. Holmes,2019-20,445,0,0,0,0,0,0,0,154,123,168,0,0,0,0,210,0.47200000000000003,235,0.528,73,0.16399999999999998,86,0.193,246,0.5529999999999999,5,0.011000000000000001,35,0.079,122,0.27399999999999997,66,0.14800000000000002,395,88.8%,89.1%
Queens,Queens North,30,30Q204,I.S. 204 Oliver W. Holmes,Junior High-Intermediate-Middle,Dual Language,Spanish,Special Education,I.S. 204 Oliver W. Holmes,2019-20,445,0,0,0,0,0,0,0,154,123,168,0,0,0,0,210,0.47200000000000003,235,0.528,73,0.16399999999999998,86,0.193,246,0.5529999999999999,5,0.011000000000000001,35,0.079,122,0.27399999999999997,66,0.14800000000000002,395,88.8%,89.1%
Queens,Queens North,30,30Q212,P.S. 212,Elementary,Dual Language,Spanish,General Education,P.S. 212,2019-20,757,36,98,111,123,135,149,105,0,0,0,0,0,0,0,375,0.495,382,0.505,176,0.23199999999999998,7,0.009000000000000001,469,0.62,24,0.032,81,0.107,121,0.16,121,0.16,426,56.3%,61.5%
Queens,Queens North,30,30Q222,P.S. Q222 - Fire Fighter Christopher A. Santora School,Early Childhood,Dual Language,Spanish,General Education,P.S. Q222 - Fire Fighter Christopher A. Santora Sc,2019-20,276,36,83,85,72,0,0,0,0,0,0,0,0,0,0,143,0.518,133,0.48200000000000004,30,0.109,3,0.011000000000000001,191,0.6920000000000001,15,0.054000000000000006,37,0.134,31,0.11199999999999999,64,0.23199999999999998,176,63.8%,52.1%
Queens,Queens North,30,30Q228,The Ivan Lafayette Early Childhood School of the Arts,Early Childhood,Dual Language,Spanish,General Education,The Ivan Lafayette Early Childhood School of the A,2019-20,290,34,80,99,77,0,0,0,0,0,0,0,0,0,0,147,0.507,143,0.493,22,0.076,2,0.006999999999999999,250,0.862,4,0.013999999999999999,12,0.040999999999999995,60,0.207,129,0.445,233,80.3%,76.6%
Queens,Queens North,30,30Q228,The Ivan Lafayette Early Childhood School of the Arts,Early Childhood,Dual Language,Spanish,Special Education,The Ivan Lafayette Early Childhood School of the A,2019-20,290,34,80,99,77,0,0,0,0,0,0,0,0,0,0,147,0.507,143,0.493,22,0.076,2,0.006999999999999999,250,0.862,4,0.013999999999999999,12,0.040999999999999995,60,0.207,129,0.445,233,80.3%,76.6%
Queens,Queens North,30,30Q280,P.S. 280,Elementary,Dual Language,Spanish,General Education,P.S. 280,2019-20,575,0,67,85,94,115,120,94,0,0,0,0,0,0,0,283,0.49200000000000005,292,0.508,42,0.073,3,0.005,518,0.9009999999999999,6,0.01,6,0.01,96,0.16699999999999998,197,0.34299999999999997,543,94.4%,83.8%
Queens,Queens North,30,30Q329,East Elmhurst Community School,Elementary,Dual Language,Spanish,General Education,East Elmhurst Community School,2019-20,448,0,75,80,78,92,58,65,0,0,0,0,0,0,0,210,0.469,238,0.531,18,0.04,24,0.054000000000000006,387,0.8640000000000001,6,0.013000000000000001,13,0.028999999999999998,81,0.18100000000000002,136,0.304,410,91.5%,83.7%
Queens,Queens North,30,30Q398,The Hector Figueroa School,Elementary,Dual Language,Spanish,General Education,P.S. 398,2019-20,124,58,66,0,0,0,0,0,0,0,0,0,0,0,0,58,0.46799999999999997,66,0.532,49,0.395,1,0.008,57,0.46,6,0.048,11,0.08900000000000001,6,0.048,26,0.21,81,65.3%,57.5%
Queens,Queens North,30,30Q450,Long Island City High School,High school,Dual Language,Spanish,General Education,Long Island City High School,2019-20,2204,0,0,0,0,0,0,0,0,0,0,823,557,418,406,1100,0.499,1104,0.501,314,0.142,197,0.08900000000000001,1509,0.685,43,0.02,141,0.064,377,0.171,231,0.105,1822,82.7%,82.0%
Staten Island,Staten Island,31,31R016,P.S. 016 John J. Driscoll,Elementary,Dual Language,Spanish,General Education,P.S. 016 John J. Driscoll,2019-20,445,52,61,75,65,60,66,66,0,0,0,0,0,0,0,228,0.512,217,0.488,31,0.07,127,0.285,249,0.56,11,0.025,27,0.061,124,0.27899999999999997,123,0.276,Above 95%,Above 95%,91.8%
Staten Island,Staten Island,31,31R019,P.S. 019 The Curtis School,Elementary,Dual Language,Spanish,General Education,P.S. 019 The Curtis School,2019-20,560,66,65,79,77,95,93,85,0,0,0,0,0,0,0,279,0.498,281,0.502,37,0.066,66,0.11800000000000001,405,0.723,18,0.032,34,0.061,160,0.28600000000000003,85,0.152,487,87.0%,83.9%
Staten Island,Staten Island,31,31R020,P.S. 020 Port Richmond,Elementary,Dual Language,Spanish,Special Education,P.S. 020 Port Richmond,2019-20,420,0,63,67,81,69,75,65,0,0,0,0,0,0,0,196,0.467,224,0.5329999999999999,6,0.013999999999999999,70,0.16699999999999998,310,0.738,11,0.026000000000000002,23,0.055,170,0.405,170,0.405,399,95.0%,92.8%
Staten Island,Staten Island,31,31R022,P.S. 022 Graniteville,Elementary,Dual Language,Spanish,General Education,P.S. 022 Graniteville,2019-20,925,66,121,133,150,111,167,177,0,0,0,0,0,0,0,461,0.498,464,0.502,75,0.081,191,0.20600000000000002,564,0.61,23,0.025,72,0.078,274,0.29600000000000004,155,0.168,783,84.6%,80.3%
Staten Island,Staten Island,31,31R041,The Stephanie A. Vierno School,Elementary,Dual Language,Spanish,General Education,The Stephanie A. Vierno School,2019-20,698,51,96,109,95,118,120,109,0,0,0,0,0,0,0,339,0.486,359,0.514,121,0.17300000000000001,23,0.033,225,0.322,19,0.027000000000000003,310,0.444,153,0.21899999999999997,120,0.172,479,68.6%,59.5%
Staten Island,Staten Island,31,31R044,P.S. 044 Thomas C. Brown,Elementary,Dual Language,Spanish,General Education,P.S. 044 Thomas C. Brown,2019-20,698,78,99,91,106,105,112,107,0,0,0,0,0,0,0,354,0.507,344,0.493,34,0.049,282,0.40399999999999997,322,0.461,37,0.053,23,0.033,227,0.325,55,0.079,663,95.0%,92.8%
Staten Island,Staten Island,31,31R051,I.S. 051 Edwin Markham,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,I.S. 051 Edwin Markham,2019-20,1313,0,0,0,0,0,0,0,454,442,417,0,0,0,0,656,0.5,657,0.5,73,0.055999999999999994,284,0.21600000000000003,656,0.5,29,0.022000000000000002,271,0.20600000000000002,382,0.29100000000000004,104,0.079,1042,79.4%,75.1%
Staten Island,Staten Island,31,31R061,I.S. 061 William A Morris,Junior High-Intermediate-Middle,Dual Language,Spanish,Special Education,I.S. 061 William A Morris,2019-20,976,0,0,0,0,0,0,0,338,325,313,0,0,0,0,522,0.535,454,0.465,30,0.031,324,0.332,476,0.488,18,0.018000000000000002,128,0.131,294,0.301,106,0.109,786,80.5%,80.5%
Brooklyn,Brooklyn North,32,32K086,P.S. 086 The Irvington,Elementary,Dual Language,Spanish,General Education,P.S. 086 The Irvington,2019-20,419,0,72,63,61,70,83,70,0,0,0,0,0,0,0,211,0.504,208,0.496,6,0.013999999999999999,3,0.006999999999999999,401,0.9570000000000001,2,0.005,7,0.017,90,0.215,148,0.353,397,94.7%,89.9%
Brooklyn,Brooklyn North,32,32K106,P.S. 106 Edward Everett Hale,Elementary,Dual Language,Spanish,General Education,P.S. 106 Edward Everett Hale,2019-20,397,48,44,46,62,62,69,66,0,0,0,0,0,0,0,177,0.446,220,0.5539999999999999,4,0.01,38,0.096,349,0.879,3,0.008,3,0.008,106,0.267,126,0.317,360,90.7%,83.9%
Brooklyn,Brooklyn North,32,32K116,P.S. 116 Elizabeth L Farrell,Elementary,Dual Language,Spanish,General Education,P.S. 116 Elizabeth L Farrell,2019-20,340,14,42,54,50,47,61,72,0,0,0,0,0,0,0,163,0.479,177,0.521,5,0.015,11,0.032,318,0.935,3,0.009000000000000001,3,0.009000000000000001,73,0.215,126,0.371,300,88.2%,91.1%
Brooklyn,Brooklyn North,32,32K123,P.S. 123 Suydam,Elementary,Dual Language,Spanish,General Education,P.S. 123 Suydam,2019-20,598,47,67,86,82,77,114,125,0,0,0,0,0,0,0,290,0.485,308,0.515,31,0.052000000000000005,11,0.018000000000000002,536,0.8959999999999999,7,0.012,13,0.022000000000000002,94,0.157,194,0.324,521,87.1%,84.0%
Brooklyn,Brooklyn North,32,32K145,P.S. 145 Andrew Jackson,Elementary,Dual Language,Spanish,General Education,P.S. 145 Andrew Jackson,2019-20,501,48,66,74,87,67,73,86,0,0,0,0,0,0,0,239,0.47700000000000004,262,0.523,3,0.006,32,0.064,450,0.898,4,0.008,12,0.024,96,0.192,89,0.17800000000000002,444,88.6%,92.1%
Brooklyn,Brooklyn North,32,32K151,P.S. 151 Lyndon B. Johnson,Elementary,Dual Language,Spanish,General Education,P.S. 151 Lyndon B. Johnson,2019-20,326,51,49,45,35,50,46,50,0,0,0,0,0,0,0,141,0.433,185,0.5670000000000001,3,0.009000000000000001,38,0.11699999999999999,273,0.8370000000000001,3,0.009000000000000001,9,0.027999999999999997,56,0.172,91,0.27899999999999997,296,90.8%,90.9%
Brooklyn,Brooklyn North,32,32K274,P.S. 274 Kosciusko,Elementary,Dual Language,Spanish,General Education,P.S. 274 Kosciusko,2019-20,364,36,65,38,54,51,54,66,0,0,0,0,0,0,0,183,0.503,181,0.49700000000000005,2,0.005,43,0.11800000000000001,310,0.852,3,0.008,6,0.016,65,0.179,101,0.27699999999999997,Above 95%,Above 95%,89.1%
